"Loại câu hỏi","Metric","Flat RAG","GraphRAG","Chênh lệch (Graph - Flat)","Nhận xét phân tích"
"cross-doc","Comprehensiveness","1.727","1.773","0.045","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"cross-doc","Faithfulness","1.864","1.955","0.091","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"cross-doc","Multi-hop reasoning","1.727","1.773","0.045","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"cross-doc","Latency (s)","1.759","1.658","-0.101","GraphRAG thấp hơn trong nhóm này."
"cross-doc","Token usage","611.955","491.364","-120.591","GraphRAG thấp hơn trong nhóm này."
"factoid","Comprehensiveness","1.2","1.4","0.2","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"factoid","Faithfulness","1.2","1.6","0.4","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"factoid","Multi-hop reasoning","1.2","1.4","0.2","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"factoid","Latency (s)","1.431","1.232","-0.199","GraphRAG thấp hơn trong nhóm này."
"factoid","Token usage","574.6","438.6","-136","GraphRAG thấp hơn trong nhóm này."
"multi-hop","Comprehensiveness","1.696","1.565","-0.13","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"multi-hop","Faithfulness","1.87","1.652","-0.217","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"multi-hop","Multi-hop reasoning","1.696","1.565","-0.13","Hai phương pháp gần nhau; kiểm tra coverage và rationale."
"multi-hop","Latency (s)","2.115","2.135","0.02","Flat RAG thấp hơn trong nhóm này."
"multi-hop","Token usage","659.522","533.348","-126.174","GraphRAG thấp hơn trong nhóm này."
