decision,left_id,right_id,simhash_distance,jaccard_5gram,thresholds,reason
MERGE_NEAR_DUP,https://elkodaily.com/news/local/adobe-student-receives-national-information-and-technology-award/article_ad2d9924-e87b-11ed-8510-473937de4c3d.html,https://elkodaily.com/news/local/adobe-student-receives-national-information-and-technology-award/article_ad2d9924-e87b-11ed-8510-473937de4c3d.html,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity,https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.wku.edu/healthinformationmanagement/,https://www.wku.edu/healthinformationmanagement/,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.wku.edu/healthinformationmanagement/,https://www.wku.edu/healthinformationmanagement/,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.federalregister.gov/agencies/office-of-government-information-services,https://www.federalregister.gov/agencies/office-of-government-information-services,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.buffalo.edu/administrative-services/information-for-suppliers.html,https://www.buffalo.edu/administrative-services/information-for-suppliers.html,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
REJECT_HAMMING,https://www.wsj.com/finance/investing/tech-media-telecom-roundup-market-talk-22d055db,https://www.wsj.com/articles/tech-media-telecom-roundup-market-talk-4d9333d5,11,0.4,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
REJECT_HAMMING,https://www.devdiscourse.com/article/technology/2518545-ceinsys-tech-ltd-a-specialized-gis-mobility-engineering-services-provider-celebrates-25-years-of-enhancing-possibilities-e,https://www.maketecheasier.com/fix-system-service-exception-bsod-windows/,19,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
MERGE_NEAR_DUP,https://seekingalpha.com/article/4628045-stewart-information-services-q2-earnings-waiting-for-better-times,https://seekingalpha.com/article/4628045-stewart-information-services-q2-earnings-waiting-for-better-times,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://www.uh.edu/infotech/about/departments/tss/,https://www.uh.edu/infotech/about/departments/tss/,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
REJECT_HAMMING,https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,https://www.ou.edu/admissions/academics/business/management-information-systems,20,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
REJECT_HAMMING,https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,https://www.ou.edu/admissions/academics/business/management-information-systems,20,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
REJECT_HAMMING,https://www.cambridgenetwork.co.uk/sectors/information-technology-and-telecoms,https://www.ou.edu/admissions/academics/business/management-information-systems,20,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
MERGE_NEAR_DUP,https://www.computerweekly.com/microscope/resources/Network-Services,https://www.computerweekly.com/microscope/resources/Network-Services,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://seekingalpha.com/article/4586605-information-services-group-inc-iii-q4-2022-earnings-call-transcript,https://seekingalpha.com/article/4586605-information-services-group-inc-iii-q4-2022-earnings-call-transcript,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://seekingalpha.com/article/4586605-information-services-group-inc-iii-q4-2022-earnings-call-transcript,https://seekingalpha.com/article/4586605-information-services-group-inc-iii-q4-2022-earnings-call-transcript,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
REJECT_HAMMING,https://washingtontechnology.com/companies/2023/04/renovus-unveils-new-government-services-company/385275/,https://www.sunnewsonline.com/ncc-committed-to-gender-equity-in-information-technology/,30,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
REJECT_HAMMING,https://washingtontechnology.com/companies/2023/04/renovus-unveils-new-government-services-company/385275/,https://www.bizjournals.com/louisville/inno/stories/fundings/2023/05/19/vsimple-tech-startup-fundraising-workflow-2023.html,24,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
REJECT_HAMMING,https://washingtontechnology.com/companies/2023/04/renovus-unveils-new-government-services-company/385275/,https://www.sunnewsonline.com/ncc-committed-to-gender-equity-in-information-technology/,30,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
MERGE_NEAR_DUP,https://www.wwt.com/case-study/people-process-and-technology-to-scale-mlops-financial-services,https://www.wwt.com/case-study/people-process-and-technology-to-scale-mlops-financial-services,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
MERGE_NEAR_DUP,https://it.tmcnet.com/news/2023/08/14/9863898.htm,https://technews.tmcnet.com/news/2023/08/14/9863898.htm,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
REJECT_HAMMING,https://www.usnews.com/360-reviews/technology/streaming-services/best-live-tv-streaming-services,https://yourstory.com/2022/12/technology-innovation-driving-growth-arista-vault-indias-first-smart-luggage-brand,23,0.0,hamming<=6;jaccard>=0.82,SimHash distance above 6/64
MERGE_NEAR_DUP,https://www.unwomen.org/en/how-we-work/innovation-and-technology/glossary,https://www.unwomen.org/en/how-we-work/innovation-and-technology/glossary,0,1.0,hamming<=6;jaccard>=0.82,conservative thresholds satisfied
